title,price,reviews,link,image_url,creation_timestamp,scrape_date
N/A,$29.99,833,N/A,https://m.media-amazon.com/images/I/81BlWYfmKQL._AC_UL320_.jpg,2024-12-24T23:08:11.826243,2024-12-24
N/A,$13.49,"9,004",N/A,https://m.media-amazon.com/images/I/81FyJL0c+RL._AC_UL320_.jpg,2024-12-24T23:08:11.831214,2024-12-24
N/A,$76.43,199,N/A,https://m.media-amazon.com/images/I/61bMFOLZnuL._AC_UY218_.jpg,2024-12-24T23:08:11.851213,2024-12-24
N/A,$104.70,"1,218",N/A,https://m.media-amazon.com/images/I/51bY832NkkL._AC_UY218_.jpg,2024-12-24T23:08:11.856213,2024-12-24
N/A,$64.99,"1,685",N/A,https://m.media-amazon.com/images/I/71+nxanQRpL._AC_UY218_.jpg,2024-12-24T23:08:11.866233,2024-12-24
N/A,$26.90,"224,408",N/A,https://m.media-amazon.com/images/I/71cVOgvystL._AC_UY218_.jpg,2024-12-24T23:08:11.878245,2024-12-24
N/A,$22.94,772,N/A,https://m.media-amazon.com/images/I/81k1BnToaFL._AC_UY218_.jpg,2024-12-24T23:08:11.887212,2024-12-24
N/A,$47.99,42,N/A,https://m.media-amazon.com/images/I/51dQexLxQBL._AC_UY218_.jpg,2024-12-24T23:08:11.906211,2024-12-24
N/A,$9.49,"4,430",N/A,https://m.media-amazon.com/images/I/713Ivks+PHL._AC_UY218_.jpg,2024-12-24T23:08:11.934213,2024-12-24
N/A,$26.99,"80,948",N/A,https://m.media-amazon.com/images/I/51eAhFCg5mL._AC_UY218_.jpg,2024-12-24T23:08:11.947213,2024-12-24
N/A,$19.99,"7,170",N/A,https://m.media-amazon.com/images/I/61sCTD4mC2L._AC_UY218_.jpg,2024-12-24T23:08:11.961249,2024-12-24
N/A,$29.99,"4,172",N/A,https://m.media-amazon.com/images/I/71SEu0Uv0iL._AC_UY218_.jpg,2024-12-24T23:08:11.968246,2024-12-24
N/A,$25.97,108,N/A,https://m.media-amazon.com/images/I/514R45NuUxL._AC_UY218_.jpg,2024-12-24T23:08:11.971248,2024-12-24
N/A,$15.99,"10,494",N/A,https://m.media-amazon.com/images/I/61z-rTknwVS._AC_UY218_.jpg,2024-12-24T23:08:11.981210,2024-12-24
N/A,$88.00,"8,333",N/A,https://m.media-amazon.com/images/I/31oAniReIAL._AC_UY218_.jpg,2024-12-24T23:08:11.986209,2024-12-24
N/A,$26.79,595,N/A,https://m.media-amazon.com/images/I/71aX4h-61gL._AC_UY218_.jpg,2024-12-24T23:08:11.994212,2024-12-24
N/A,$99.13,N/A,N/A,https://m.media-amazon.com/images/I/516qrSVkTlL._AC_UY218_.jpg,2024-12-24T23:08:12.003211,2024-12-24
N/A,$29.99,833,N/A,https://m.media-amazon.com/images/I/81BlWYfmKQL._AC_UL640_QL65_.jpg,2024-12-24T23:08:12.009210,2024-12-24
N/A,$39.99,32,N/A,https://m.media-amazon.com/images/I/515cfOcCNyL._AC_UY218_.jpg,2024-12-24T23:08:18.239150,2024-12-24
N/A,$245.00,139,N/A,https://m.media-amazon.com/images/I/71IZFZGzOzL._AC_UY218_.jpg,2024-12-24T23:08:18.275150,2024-12-24
N/A,$59.99,5,N/A,https://m.media-amazon.com/images/I/71tSG64ezSL._AC_UY218_.jpg,2024-12-24T23:08:18.281154,2024-12-24
N/A,$249.99,2 sizes,N/A,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg,2024-12-24T23:08:27.917123,2024-12-24
N/A,$99.99,178,N/A,https://m.media-amazon.com/images/I/711mfMxPxXL._AC_UY218_.jpg,2024-12-24T23:08:27.967160,2024-12-24
N/A,$67.88,396,N/A,https://m.media-amazon.com/images/I/51aGOonIzSS._AC_UY218_.jpg,2024-12-24T23:08:27.986120,2024-12-24
N/A,$287.49,124,N/A,https://m.media-amazon.com/images/I/51w130WJUYL._AC_UY218_.jpg,2024-12-24T23:08:27.990162,2024-12-24
N/A,$20.89,207,N/A,https://m.media-amazon.com/images/I/61wiBVYMLbL._AC_UY218_.jpg,2024-12-24T23:08:36.796571,2024-12-24
N/A,$27.99,34,N/A,https://m.media-amazon.com/images/I/71H-jt44r8L._AC_UY218_.jpg,2024-12-24T23:08:36.800566,2024-12-24
N/A,$142.95,3,N/A,https://m.media-amazon.com/images/I/71FW3VKwpGL._AC_UY218_.jpg,2024-12-24T23:08:36.804606,2024-12-24
N/A,$9.48,"2,720",N/A,https://m.media-amazon.com/images/I/81Tvpafsl5L._AC_UY218_.jpg,2024-12-24T23:08:36.808568,2024-12-24
N/A,$69.00,56,N/A,https://m.media-amazon.com/images/I/41Xy9O1ey3L._AC_UY218_.jpg,2024-12-24T23:08:36.812602,2024-12-24
N/A,$59.99,13,N/A,https://m.media-amazon.com/images/I/71k-CeLKw+L._AC_UY218_.jpg,2024-12-24T23:08:36.816608,2024-12-24
N/A,$69.00,"6,726",N/A,https://m.media-amazon.com/images/I/615ymMYrdtL._AC_UY218_.jpg,2024-12-24T23:08:36.822605,2024-12-24
N/A,$28.99,1,N/A,https://m.media-amazon.com/images/I/71xpDKMtT2L._AC_UY218_.jpg,2024-12-24T23:08:36.826602,2024-12-24
N/A,$49.99,3,N/A,https://m.media-amazon.com/images/I/71Z75zYLzTL._AC_UY218_.jpg,2024-12-24T23:08:36.830569,2024-12-24
N/A,$29.99,11,N/A,https://m.media-amazon.com/images/I/711jgNYSjWL._AC_UY218_.jpg,2024-12-24T23:08:36.834604,2024-12-24
N/A,$158.95,878,N/A,https://m.media-amazon.com/images/I/5147rnwUvPL._AC_UY218_.jpg,2024-12-24T23:08:36.838604,2024-12-24
N/A,$64.13,9,N/A,https://m.media-amazon.com/images/I/51N9VLrwucL._AC_UY218_.jpg,2024-12-24T23:08:36.842604,2024-12-24
N/A,$39.99,12,N/A,https://m.media-amazon.com/images/I/71Edjpg8JVL._AC_UY218_.jpg,2024-12-24T23:08:36.845614,2024-12-24
N/A,$29.99,"129,702",N/A,https://m.media-amazon.com/images/I/71-eU+OIacL._AC_UY218_.jpg,2024-12-24T23:08:36.854570,2024-12-24
N/A,$16.69,29,N/A,https://m.media-amazon.com/images/I/81Uah1H0PcL._AC_UY218_.jpg,2024-12-24T23:08:36.858566,2024-12-24
N/A,$139.95,N/A,N/A,https://m.media-amazon.com/images/I/7192Jk+ihuL._AC_UY218_.jpg,2024-12-24T23:08:36.862566,2024-12-24
N/A,$227.96,199,N/A,https://m.media-amazon.com/images/I/71gozZHWarL._AC_UY218_.jpg,2024-12-24T23:08:42.641082,2024-12-24
N/A,$79.97,3,N/A,https://m.media-amazon.com/images/I/714dkcY2OBL._AC_UY218_.jpg,2024-12-24T23:08:42.649081,2024-12-24
N/A,$685.00,2 capacities,N/A,https://m.media-amazon.com/images/I/818WO3r8jhL._AC_UY218_.jpg,2024-12-24T23:08:42.685078,2024-12-24
N/A,$269.00,261,N/A,https://m.media-amazon.com/images/I/71FuBQEb08L._AC_UY218_.jpg,2024-12-24T23:08:42.689078,2024-12-24
N/A,$189.00,8,N/A,https://m.media-amazon.com/images/I/71wc30QBUDL._AC_UY218_.jpg,2024-12-24T23:08:42.693079,2024-12-24
N/A,$329.00,5,N/A,https://m.media-amazon.com/images/I/71LgbKfJisL._AC_UY218_.jpg,2024-12-24T23:08:42.699081,2024-12-24
N/A,$899.99,171,N/A,https://m.media-amazon.com/images/I/61cVvg6zcWL._AC_UY218_.jpg,2024-12-24T23:08:42.711081,2024-12-24
N/A,"$1,449.99",2 capacities,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UY218_.jpg,2024-12-24T23:08:42.722079,2024-12-24
N/A,$349.99,270,N/A,https://m.media-amazon.com/images/I/61VJpioT7SL._AC_UY218_.jpg,2024-12-24T23:08:42.735082,2024-12-24
N/A,$89.99,2,N/A,https://m.media-amazon.com/images/I/711RfVN-QEL._AC_UY218_.jpg,2024-12-24T23:08:42.740081,2024-12-24
N/A,$38.99,84,N/A,https://m.media-amazon.com/images/I/71ZxasnVmLL._AC_UY218_.jpg,2024-12-24T23:08:42.747079,2024-12-24
N/A,$89.99,2,N/A,https://m.media-amazon.com/images/I/711RfVN-QEL._AC_UY218_.jpg,2024-12-24T23:08:47.594621,2024-12-24
N/A,$38.99,84,N/A,https://m.media-amazon.com/images/I/71ZxasnVmLL._AC_UY218_.jpg,2024-12-24T23:08:47.599620,2024-12-24
N/A,$324.99,3,N/A,https://m.media-amazon.com/images/I/71LqNeDQq4L._AC_UY218_.jpg,2024-12-24T23:08:47.605620,2024-12-24
N/A,$389.99,43,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UL320_.jpg,2024-12-24T23:08:47.624627,2024-12-24
N/A,$389.99,43,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UL320_.jpg,2024-12-24T23:08:47.631618,2024-12-24
N/A,$389.99,23,N/A,https://m.media-amazon.com/images/I/81f6wI3M5FL._AC_UL320_.jpg,2024-12-24T23:08:47.635618,2024-12-24
N/A,$269.00,261,N/A,https://m.media-amazon.com/images/I/71FuBQEb08L._AC_UL320_.jpg,2024-12-24T23:08:47.640621,2024-12-24
N/A,"$1,449.99",131,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UL320_.jpg,2024-12-24T23:08:47.646618,2024-12-24
N/A,"$1,449.99",2 capacities,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UY218_.jpg,2024-12-24T23:08:47.674621,2024-12-24
N/A,$389.99,3 capacities,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UY218_.jpg,2024-12-24T23:08:47.680660,2024-12-24
N/A,$35.99,34,N/A,https://m.media-amazon.com/images/I/51RYJrsBaWL._AC_UY218_.jpg,2024-12-24T23:08:47.718648,2024-12-24
N/A,$55.99,1,N/A,https://m.media-amazon.com/images/I/6194czTiTQL._AC_UY218_.jpg,2024-12-24T23:08:47.723658,2024-12-24
N/A,$7.99,N/A,N/A,https://m.media-amazon.com/images/I/71b+D8rf6JL._AC_UY218_.jpg,2024-12-24T23:08:51.839121,2024-12-24
N/A,$89.99,2,N/A,https://m.media-amazon.com/images/I/711RfVN-QEL._AC_UY218_.jpg,2024-12-24T23:08:51.845124,2024-12-24
N/A,$369.99,20,N/A,https://m.media-amazon.com/images/I/61vaWSi-b1L._AC_UY218_.jpg,2024-12-24T23:08:51.851121,2024-12-24
N/A,$139.99,287,N/A,https://m.media-amazon.com/images/I/714xZQVzHNL._AC_UL640_QL65_.jpg,2024-12-24T23:08:51.865153,2024-12-24
N/A,$389.99,43,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UL320_.jpg,2024-12-24T23:08:51.880121,2024-12-24
N/A,$389.99,43,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UL320_.jpg,2024-12-24T23:08:51.885121,2024-12-24
N/A,$389.99,23,N/A,https://m.media-amazon.com/images/I/81f6wI3M5FL._AC_UL320_.jpg,2024-12-24T23:08:51.892122,2024-12-24
N/A,"$1,449.99",131,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UL320_.jpg,2024-12-24T23:08:51.896121,2024-12-24
N/A,$269.00,261,N/A,https://m.media-amazon.com/images/I/71FuBQEb08L._AC_UL320_.jpg,2024-12-24T23:08:51.902121,2024-12-24
N/A,$394.49,N/A,N/A,https://m.media-amazon.com/images/I/51P7f4JtKXL._AC_UY218_.jpg,2024-12-24T23:08:51.911122,2024-12-24
N/A,$469.90,5 capacities,N/A,https://m.media-amazon.com/images/I/91PRU+C7nVL._AC_UY218_.jpg,2024-12-24T23:08:51.945125,2024-12-24
N/A,$390.00,6 capacities,N/A,https://m.media-amazon.com/images/I/61eFMUYS+HL._AC_UY218_.jpg,2024-12-24T23:08:51.961122,2024-12-24
N/A,$389.99,3 capacities,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UY218_.jpg,2024-12-24T23:08:51.980119,2024-12-24
N/A,"$1,449.99",2 capacities,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UY218_.jpg,2024-12-24T23:08:51.990794,2024-12-24
N/A,$469.99,3 capacities,N/A,https://m.media-amazon.com/images/I/81qAOIM5c0L._AC_UY218_.jpg,2024-12-24T23:08:51.998685,2024-12-24
N/A,$238.00,45,N/A,https://m.media-amazon.com/images/I/61VB2PmdhmL._AC_UY218_.jpg,2024-12-24T23:08:52.006086,2024-12-24
N/A,$389.99,23,N/A,https://m.media-amazon.com/images/I/915oOrkkkCL._AC_UY218_.jpg,2024-12-24T23:08:52.020430,2024-12-24
N/A,"$1,099.99",3 capacities,N/A,https://m.media-amazon.com/images/I/71oOu3PIrCL._AC_UY218_.jpg,2024-12-24T23:08:52.031288,2024-12-24
N/A,$38.99,84,N/A,https://m.media-amazon.com/images/I/71ZxasnVmLL._AC_UY218_.jpg,2024-12-24T23:08:52.044288,2024-12-24
N/A,$55.99,1,N/A,https://m.media-amazon.com/images/I/6194czTiTQL._AC_UY218_.jpg,2024-12-24T23:08:52.056290,2024-12-24
N/A,$7.99,N/A,N/A,https://m.media-amazon.com/images/I/71b+D8rf6JL._AC_UY218_.jpg,2024-12-24T23:09:01.026312,2024-12-24
N/A,$89.99,2,N/A,https://m.media-amazon.com/images/I/711RfVN-QEL._AC_UY218_.jpg,2024-12-24T23:09:01.044317,2024-12-24
N/A,$389.99,43,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UL320_.jpg,2024-12-24T23:09:01.090137,2024-12-24
N/A,$389.99,43,N/A,https://m.media-amazon.com/images/I/81paMeTLvRL._AC_UL320_.jpg,2024-12-24T23:09:01.096138,2024-12-24
N/A,$389.99,23,N/A,https://m.media-amazon.com/images/I/81f6wI3M5FL._AC_UL320_.jpg,2024-12-24T23:09:01.103137,2024-12-24
N/A,"$1,449.99",131,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UL320_.jpg,2024-12-24T23:09:01.110142,2024-12-24
N/A,$269.00,261,N/A,https://m.media-amazon.com/images/I/71FuBQEb08L._AC_UL320_.jpg,2024-12-24T23:09:01.113136,2024-12-24
N/A,$238.00,45,N/A,https://m.media-amazon.com/images/I/61VB2PmdhmL._AC_UL320_.jpg,2024-12-24T23:09:01.117136,2024-12-24
N/A,$794.77,N/A,N/A,https://m.media-amazon.com/images/I/613fIqDbu4L._AC_UY218_.jpg,2024-12-24T23:09:01.130138,2024-12-24
N/A,$599.98,2 capacities,N/A,https://m.media-amazon.com/images/I/71fQbeEDkNL._AC_UY218_.jpg,2024-12-24T23:09:01.149140,2024-12-24
N/A,$329.00,5,N/A,https://m.media-amazon.com/images/I/71LgbKfJisL._AC_UY218_.jpg,2024-12-24T23:09:01.159140,2024-12-24
N/A,$38.99,84,N/A,https://m.media-amazon.com/images/I/71ZxasnVmLL._AC_UY218_.jpg,2024-12-24T23:09:01.195137,2024-12-24
N/A,$55.99,1,N/A,https://m.media-amazon.com/images/I/6194czTiTQL._AC_UY218_.jpg,2024-12-24T23:09:01.200137,2024-12-24
N/A,$116.99,"1,014",N/A,https://m.media-amazon.com/images/I/71-clY1wOUL._AC_UL640_QL65_.jpg,2024-12-24T23:09:01.212136,2024-12-24
N/A,$129.99,11,N/A,https://m.media-amazon.com/images/I/81swa7xcHjL._AC_UY218_.jpg,2024-12-24T23:09:10.189975,2024-12-24
N/A,$68.98,2 sizes,N/A,https://m.media-amazon.com/images/I/714i1-jZa3L._AC_UY218_.jpg,2024-12-24T23:09:10.196975,2024-12-24
N/A,$37.98,13,N/A,https://m.media-amazon.com/images/I/61ThPjM2TmL._AC_UY218_.jpg,2024-12-24T23:09:10.202981,2024-12-24
N/A,"$1,449.99",131,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UL320_.jpg,2024-12-24T23:09:10.220980,2024-12-24
N/A,"$1,449.99",131,N/A,https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UL320_.jpg,2024-12-24T23:09:10.224942,2024-12-24
N/A,$31.99,"3,024",N/A,https://m.media-amazon.com/images/I/71v31MEgAYL._AC_UL320_.jpg,2024-12-24T23:09:10.227939,2024-12-24
N/A,$36.99,227,N/A,https://m.media-amazon.com/images/I/91qap6M8--L._AC_UL320_.jpg,2024-12-24T23:09:10.230940,2024-12-24
N/A,$39.99,402,N/A,https://m.media-amazon.com/images/I/81v0XCo9HcL._AC_UL320_.jpg,2024-12-24T23:09:10.233940,2024-12-24
N/A,$23.99,935,N/A,https://m.media-amazon.com/images/I/61q15GuYXFL._AC_UL320_.jpg,2024-12-24T23:09:10.238941,2024-12-24
N/A,$39.99,"7,759",N/A,https://m.media-amazon.com/images/I/61uAPtQSedL._AC_UY218_.jpg,2024-12-24T23:09:10.270946,2024-12-24
N/A,$39.99,119,N/A,https://m.media-amazon.com/images/I/71YnDzooETL._AC_UY218_.jpg,2024-12-24T23:09:10.275976,2024-12-24
